       Variants report for Z:\PRJ\SEZ\MKm-3\PCB\MKm-3\MKm-3\PCB\MKm-3.pcb
       ==================================================================
Variant group: (Default)

Date : 19.09.2016 15:42:13

+---------+--------------------------+-----+-----+
| Ref Des | Part Number              | 01  | 02  |
| R84     | CRCW040249R9FKED         |     |     |
| R85     | CRCW040249R9FKED         |     |     |
| R86     | CRCW040249R9FKED         |     |     |
| R87     | CRCW040249R9FKED         |     |     |
| R88     | CRCW040249R9FKED         |     |     |
| R89     | CRCW040249R9FKED         |     |     |
| R90     | CRCW040249R9FKED         |     |     |
| R91     | CRCW040249R9FKED         |     |     |
| R92     | CRCW040249R9FKED         |     |     |
| R93     | CRCW040249R9FKED         |     |     |
| R94     | CRCW04020000Z0ED         |     |     |
| R95     | CRCW040210K0JKED         |     |     |
| R96     | CRCW04020000Z0ED         |     |     |
| R97     | CRCW040210K0JKED         |     |     |
| R98     | CRCW04020000Z0ED         | DNP |     |
| R99     | CRCW040210K0JKED         |     |     |
| R100    | CRCW04020000Z0ED         | DNP |     |
| R101    | CRCW040210K0JKED         |     |     |
| R102    | CRCW040210K0JKED         |     |     |
| R103    | CRCW040210K0JKED         |     |     |
| R104    | CRCW040210K0JKED         |     |     |
| R105    | CRCW040210K0JKED         |     |     |
| R106    | CRCW04020000Z0ED         | DNP | DNP |
| R107    | CRCW040210K0JKED         |     |     |
| R108    | CRCW04020000Z0ED         |     |     |
| R109    | CRCW04020000Z0ED         | DNP | DNP |
| R110    | CRCW04020000Z0ED         | DNP | DNP |
| R111    | CRCW040210K0JKED         |     |     |
| R112    | CRCW04022K00FKED         |     |     |
| R113    | CRCW040210K0JKED         | DNP | DNP |
| R114    | CRCW040210K0JKED         | DNP | DNP |
| R115    | CRCW060375R0FKED         |     |     |
| R116    | CRCW060375R0FKED         |     |     |
| R117    | CRCW060375R0FKED         |     |     |
| R118    | CRCW060375R0FKED         |     |     |
| R119    | CRCW0402330RJKED         |     |     |
| R120    | CRCW0402330RJKED         |     |     |
| R121    | CRCW0402330RJKED         |     |     |
| R122    | CRCW0402330RJKED         |     |     |
| R123    | CRCW0402330RJKED         |     |     |
| R124    | CRCW0402330RJKED         |     |     |
| R125    | CRCW0402330RJKED         |     |     |
| R126    | CRCW0402330RJKED         |     |     |
| R127    | CRCW060375R0FKED         |     |     |
| R128    | CRCW060375R0FKED         |     |     |
| R129    | CRCW060375R0FKED         |     |     |
| R130    | CRCW060375R0FKED         |     |     |
| R131    | CRCW1206510KJKED         |     |     |
| R132    | CRCW1206510KJKED         |     |     |
| R133    | CRCW040249R9FKED         |     |     |
| R134    | CRCW040249R9FKED         |     |     |
| R135    | CRCW040249R9FKED         |     |     |
| R136    | CRCW040249R9FKED         |     |     |
| R137    | CRCW040249R9FKED         |     |     |
| R138    | CRCW040249R9FKED         |     |     |
| R139    | CRCW040249R9FKED         |     |     |
| R140    | CRCW040249R9FKED         |     |     |
| R141    | CRCW040249R9FKED         |     |     |
| R142    | CRCW040249R9FKED         |     |     |
| R143    | CRCW040249R9FKED         |     |     |
| R144    | CRCW040249R9FKED         |     |     |
| R145    | CRCW040249R9FKED         |     |     |
| R146    | CRCW040249R9FKED         |     |     |
| R147    | CRCW040249R9FKED         |     |     |
| R148    | CRCW040249R9FKED         |     |     |
| R149    | CRCW040249R9FKED         |     |     |
| R150    | CRCW040249R9FKED         |     |     |
| R151    | CRCW040249R9FKED         |     |     |
| R152    | CRCW040249R9FKED         |     |     |
| R153    | CRCW040249R9FKED         |     |     |
| R154    | CRCW040249R9FKED         |     |     |
| R155    | CRCW040249R9FKED         |     |     |
| R156    | CRCW040249R9FKED         |     |     |
| R157    | CRCW040249R9FKED         |     |     |
| R158    | CRCW040249R9FKED         |     |     |
| R159    | CRCW040249R9FKED         |     |     |
| R160    | CRCW040249R9FKED         |     |     |
| R161    | CRCW040249R9FKED         |     |     |
| R162    | CRCW040249R9FKED         |     |     |
| R163    | CRCW040249R9FKED         |     |     |
| R164    | CRCW040249R9FKED         |     |     |
| R165    | CRCW0402330RJKED         | DNP |     |
| R166    | CRCW0402330RJKED         | DNP |     |
| R167    | CRCW04020000Z0ED         | DNP |     |
| R168    | CRCW04020000Z0ED         | DNP |     |
| R169    | CRCW04020000Z0ED         | DNP |     |
| R170    | CRCW04020000Z0ED         |     |     |
| R171    | CRCW04020000Z0ED         | DNP |     |
| R172    | CRCW04020000Z0ED         |     |     |
| R173    | CRCW04020000Z0ED         |     |     |
| R174    | CRCW04020000Z0ED         |     |     |
| R175    | CRCW040210K0JKED         |     |     |
| R176    | CRCW04020000Z0ED         | DNP |     |
| R177    | CRCW040210K0JKED         |     |     |
| R178    | CRCW04020000Z0ED         | DNP |     |
| R179    | CRCW040210K0JKED         |     |     |
| R180    | CRCW040210K0JKED         |     |     |
| R181    | CRCW040210K0JKED         |     |     |
| R182    | CRCW040210K0JKED         |     |     |
| R183    | CRCW040210K0JKED         |     |     |
| R184    | CRCW04020000Z0ED         |     |     |
| R185    | CRCW040210K0JKED         |     |     |
| R186    | CRCW040210K0JKED         |     |     |
| R187    | CRCW040210K0JKED         |     |     |
| R188    | CRCW040210K0JKED         |     |     |
| R189    | CRCW040210K0JKED         |     |     |
| R190    | CRCW040210K0JKED         |     |     |
| R191    | CRCW040210K0JKED         |     |     |
| R192    | CRCW040210K0JKED         |     |     |
| R193    | CRCW040210K0JKED         |     |     |
| R194    | CRCW040210K0JKED         | DNP |     |
| R195    | CRCW04020000Z0ED         | DNP |     |
| R196    | CRCW04020000Z0ED         | DNP |     |
| R197    | CRCW04020000Z0ED         | DNP |     |
| R198    | CRCW040210K0JKED         | DNP |     |
| R199    | CRCW040210K0JKED         | DNP |     |
| R200    | CRCW040210K0JKED         | DNP |     |
| R201    | CRCW040210K0JKED         | DNP |     |
| R202    | CRCW040210K0JKED         | DNP |     |
| R203    | CRCW04020000Z0ED         | DNP | DNP |
| R204    | CRCW040233R0JKED         | DNP |     |
| R205    | CRCW040233R0JKED         | DNP |     |
| R206    | CRCW040233R0JKED         | DNP |     |
| R207    | CRCW040233R0JKED         | DNP |     |
| R208    | CRCW040210K0JKED         | DNP |     |
| R209    | CRCW04020000Z0ED         | DNP |     |
| R210    | CRCW04020000Z0ED         | DNP |     |
| R211    | CRCW040210K0JKED         | DNP |     |
| R212    | CRCW040210K0JKED         | DNP |     |
| R213    | CRCW04024K99FKED         | DNP |     |
| R214    | CRCW0402330RJKED         | DNP |     |
| R215    | CRCW0402330RJKED         | DNP |     |
| R216    | CRCW0402330RJKED         | DNP |     |
| R217    | CRCW040210K0JKED         | DNP |     |
| R218    | CRCW04020000Z0ED         | DNP |     |
| R219    | CRCW040210K0JKED         | DNP |     |
| R220    | CRCW040233R0JKED         |     |     |
| R221    | CRCW040233R0JKED         |     |     |
| R222    | CRCW040233R0JKED         |     |     |
| R223    | CRCW040233R0JKED         |     |     |
| R224    | CRCW040233R0JKED         |     |     |
| R225    | CRCW040233R0JKED         |     |     |
| R226    | CRCW040233R0JKED         |     |     |
| R227    | CRCW040233R0JKED         |     |     |
| R228    | CRCW040210K0JKED         |     |     |
| R229    | CRCW040210K0JKED         |     |     |
| R230    | CRCW04020000Z0ED         |     |     |
| R231    | CRCW04020000Z0ED         |     |     |
| R232    | CRCW04020000Z0ED         | DNP | DNP |
| R233    | CRCW04020000Z0ED         |     |     |
| R234    | CRCW04020000Z0ED         | DNP | DNP |
| R235    | CRCW0402330RJKED         |     |     |
| R236    | CRCW040210K0JKED         |     |     |
| R237    | CRCW040210K0JKED         |     |     |
| T1      | TG110-EMX6NXLF           |     |     |
| T2      | TG110-EMX6NXLF           |     |     |
| T3      | TG110-EMX6NXLF           |     |     |
| T4      | TG110-EMX6NXLF           |     |     |
| VD1     | SS5P6-M3/86A             |     |     |
| VD2     | SMAJ12A-E3/5A            |     |     |
| VD3     | SMP3V3-M3/84A            | DNP | DNP |
| XP1     | ASP-153860-01            |     |     |
| XP2     | ASP-153860-01            |     |     |
| XP3     | 53261-1071               |     |     |
